iter	Passed	Remaining
0	57	57360
1	57	28903
2	58	19420
3	58	14649
4	59	11770
5	59	9884
6	60	8515
7	60	7487
8	60	6694
9	61	6049
10	61	5531
11	61	5097
12	62	4735
13	62	4417
14	63	4139
15	63	3907
16	63	3698
17	64	3516
18	64	3352
19	65	3205
20	66	3077
21	66	2951
22	66	2840
23	67	2738
24	67	2641
25	68	2555
26	68	2472
27	69	2397
28	69	2326
29	69	2260
30	70	2198
31	70	2142
32	71	2090
33	71	2038
34	72	1986
35	72	1939
36	72	1895
37	73	1854
38	73	1815
39	74	1779
40	74	1743
41	75	1711
42	75	1679
43	75	1647
44	76	1616
45	76	1586
46	76	1559
47	77	1533
48	77	1507
49	78	1482
50	78	1458
51	78	1435
52	79	1412
53	79	1393
54	79	1373
55	80	1354
56	80	1336
57	81	1318
58	81	1300
59	81	1283
60	82	1267
61	82	1251
62	83	1235
63	83	1221
64	83	1206
65	84	1191
66	84	1176
67	84	1163
68	85	1151
69	85	1137
70	85	1124
71	86	1112
72	87	1106
73	87	1095
74	87	1085
75	88	1075
76	88	1066
77	89	1056
78	89	1046
79	90	1036
80	90	1027
81	91	1018
82	91	1008
83	91	1000
84	92	991
85	92	982
86	92	975
87	93	967
88	93	959
89	94	952
90	94	945
91	95	938
92	95	931
93	95	925
94	96	918
95	96	912
96	97	906
97	97	899
98	98	892
99	98	886
100	98	879
101	99	872
102	99	866
103	99	860
104	100	854
105	100	848
106	100	842
107	101	837
108	101	832
109	102	826
110	102	823
111	103	818
112	103	813
113	104	808
114	104	803
115	104	799
116	105	793
117	105	788
118	105	784
119	106	780
120	106	776
121	107	772
122	107	768
123	108	765
124	108	761
125	109	757
126	109	753
127	109	748
128	110	744
129	110	741
130	111	737
131	111	733
132	111	729
133	112	725
134	112	721
135	113	718
136	113	715
137	114	712
138	114	709
139	114	705
140	115	702
141	115	698
142	116	695
143	116	692
144	116	688
145	117	686
146	117	683
147	118	680
148	118	677
149	119	674
150	119	671
151	119	668
152	120	665
153	120	663
154	121	660
155	121	657
156	122	655
157	122	652
158	122	649
159	123	647
160	123	643
161	123	641
162	124	638
163	124	636
164	125	633
165	125	631
166	126	629
167	126	626
168	127	624
169	127	622
170	128	621
171	128	619
172	129	617
173	129	614
174	130	613
175	130	611
176	131	609
177	131	607
178	132	606
179	132	604
180	133	602
181	133	600
182	133	597
183	134	595
184	134	593
185	135	591
186	135	589
187	136	587
188	136	586
189	137	584
190	137	582
191	137	580
192	138	579
193	138	577
194	139	575
195	139	573
196	140	571
197	140	570
198	141	568
199	141	567
200	142	565
201	142	563
202	143	561
203	143	560
204	144	558
205	144	556
206	144	554
207	145	553
208	145	551
209	146	549
210	146	547
211	147	546
212	147	545
213	148	543
214	148	542
215	148	540
216	149	538
217	149	537
218	150	535
219	150	534
220	151	532
221	151	531
222	152	530
223	152	528
224	152	526
225	153	525
226	153	523
227	154	522
228	154	520
229	154	518
230	155	516
231	155	514
232	155	512
233	156	510
234	156	509
235	156	507
236	156	505
237	157	503
238	157	501
239	157	500
240	158	498
241	158	496
242	158	495
243	159	493
244	159	491
245	159	490
246	160	488
