iter	Passed	Remaining
0	0	37
1	0	35
2	0	31
3	1	28
4	1	28
5	1	27
6	2	26
7	2	25
8	2	25
9	2	25
10	3	24
11	3	24
12	3	23
13	3	23
14	4	23
15	4	23
16	4	22
17	4	22
18	5	22
19	5	22
20	6	22
21	6	22
22	6	22
23	6	21
24	7	21
25	7	21
26	7	20
27	8	20
28	8	20
29	8	19
30	8	19
31	9	19
32	9	18
33	9	18
34	9	18
35	10	17
36	10	17
37	10	17
38	10	17
39	11	16
40	11	16
41	11	16
42	11	15
43	12	15
44	12	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	14	14
51	15	13
52	15	13
53	15	13
54	15	12
55	16	12
56	16	12
57	16	12
58	16	11
59	17	11
60	17	11
61	17	10
62	17	10
63	18	10
64	18	9
65	18	9
66	19	9
67	19	9
68	19	8
69	19	8
70	20	8
71	20	8
72	21	7
73	21	7
74	22	7
75	22	7
76	22	6
77	22	6
78	23	6
79	23	5
80	23	5
81	23	5
82	24	4
83	24	4
84	24	4
85	25	4
86	25	3
87	25	3
88	25	3
89	26	2
90	26	2
91	26	2
92	27	2
93	27	1
94	27	1
95	27	1
96	28	0
97	28	0
98	28	0
99	28	0
